codigo,tipo,archivo,ruta_relativa,duracion_segundos,formato,codec_video,codec_audio,tamano_bytes,sha256
EV2-PAC-01_Entrevista,Audio,EV2-PAC-01_Entrevista.mp3,02_Audios_Originales\EV2-PAC-01_Entrevista.mp3,"285,91",mp3,,mp3,4575306.0,3888a1fb169e179f80cd556edfd9f434590ab0b32753f6d174c6921ccffb4fc9
EV2-PAC-03_Entrevista,Audio,EV2-PAC-03_Entrevista.mp3,02_Audios_Originales\EV2-PAC-03_Entrevista.mp3,"257,34",mp3,,mp3,4118346.0,92ca6a826eb98518f3e571055b66b54a9f3892addf532a7f6d2ba5aa71469b4f
EV2-PAC-04_Entrevista,Audio,EV2-PAC-04_Entrevista.mp3,02_Audios_Originales\EV2-PAC-04_Entrevista.mp3,"444,86",mp3,,mp3,7118538.0,0288ed21212bbcfedc198e724221c046adfed0e8467825b5664e25d119788db0
EV2-PAC-05_Entrevista,Audio,EV2-PAC-05_Entrevista.m4a,02_Audios_Originales\EV2-PAC-05_Entrevista.m4a,"788,52","mov,mp4,m4a,3gp,3g2,mj2",,aac,8154941.0,759c9ddf94af2cf31f5c3281b903b7d8be19a95eb0dc3214948392aba0f2e712
EV2-PAC-06_Entrevista,Audio,EV2-PAC-06_Entrevista.m4a,02_Audios_Originales\EV2-PAC-06_Entrevista.m4a,"735,04","mov,mp4,m4a,3gp,3g2,mj2",,aac,7539804.0,e46da5178a62a53a2afa72d6598e320b1e7323fcaaa278b16997d562e3b1ab5a
EV2-PAC-07_Entrevista,Audio,EV2-PAC-07_Entrevista.m4a,02_Audios_Originales\EV2-PAC-07_Entrevista.m4a,"565,76","mov,mp4,m4a,3gp,3g2,mj2",,aac,5758033.0,1726f0955de3aa04355f8f437b677daf1d1cd80ea88afa151954825140ccec02
EV2-PAC-08_Entrevista,Audio,EV2-PAC-08_Entrevista.m4a,02_Audios_Originales\EV2-PAC-08_Entrevista.m4a,"600,41","mov,mp4,m4a,3gp,3g2,mj2",,aac,6154346.0,1b4428109ce710c79eff5a0cf87a11036e6c542e2358d23415ac3b4b9e995e9f
EV2-PAC-09_Entrevista,Audio,EV2-PAC-09_Entrevista.m4a,02_Audios_Originales\EV2-PAC-09_Entrevista.m4a,"456,6","mov,mp4,m4a,3gp,3g2,mj2",,aac,4699552.0,6936c02f53aaaeee8a48f4ae7d366a3002af0a71dd07f4bb4b5fbdb2deae5858
WALK-NTEC-01_Entrevista,Audio,WALK-NTEC-01_Entrevista.mp3,02_Audios_Originales\WALK-NTEC-01_Entrevista.mp3,"237,08",mp3,,mp3,3794250.0,cfed57e8330149f3cc3af4fd013ff4b1c19ed24955da4028f34fac0fae810477
WALK-TEC-01_Entrevista,Audio,WALK-TEC-01_Entrevista.mp3,02_Audios_Originales\WALK-TEC-01_Entrevista.mp3,"1072,04",mp3,,mp3,17153610.0,8d8074415936d2208a3fa6d0d802d1e8886d1522671ff1b0d9e86737ee0c344d
